Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2023-02-03,-0.032385015,-0.083105847,-0.086070232,21,100
Market-Adjusted Model,10028,2023-02-03,0.2910052967,0.2096381869,0.2373200803,21,100
Market-Adjusted Model,10032,2023-02-03,-0.095440185,-0.134716271,-0.149125401,21,100
Market-Adjusted Model,10044,2023-02-03,-0.075125392,-0.129495291,-0.128810608,21,100
Market-Adjusted Model,10065,2023-02-03,0.0616905562,0.0075226129,0.0080053398,21,100
Market-Adjusted Model,10066,2023-02-03,0.1292341339,0.0729279939,0.0755489175,21,100
Market-Adjusted Model,10104,2023-02-03,0.0155922315,-0.036579188,-0.038092985,21,100
Market-Adjusted Model,10107,2023-02-03,0.1154726707,0.060892238,0.0617874543,21,100
Market-Adjusted Model,10113,2023-02-03,-0.012630334,-0.065310612,-0.066315551,21,100
Market-Adjusted Model,10138,2023-02-03,0.0414912605,-0.005996284,-0.012193956,21,100
Market-Adjusted Model,10145,2023-02-03,0.0037874738,-0.048397584,-0.049897743,21,100
Market-Adjusted Model,10158,2023-02-03,-0.072580636,-0.116274953,-0.126265852,21,100
Market-Adjusted Model,10200,2023-02-03,0.0319917439,-0.012176014,-0.021693472,21,100
Market-Adjusted Model,10207,2023-02-03,0.0369927754,-0.016592152,-0.016692441,21,100
Market-Adjusted Model,10220,2023-02-03,0.0886690725,0.0331614368,0.0349838561,21,100
Market-Adjusted Model,10252,2023-02-03,0.0233467744,-0.028457123,-0.030338442,21,100
Market-Adjusted Model,10253,2023-02-03,0.1554211226,0.1104766563,0.1017359062,21,100
Market-Adjusted Model,10257,2023-02-03,0.1620659559,0.0995499823,0.1083807395,21,100
Market-Adjusted Model,10258,2023-02-03,-0.07404216,-0.124198371,-0.127727376,21,100
Market-Adjusted Model,10294,2023-02-03,0.0964166188,0.0417544834,0.0427314024,21,100
Market-Adjusted Model,10308,2023-02-03,0.0529380667,0.0003934922,-0.00074715,21,100
Market-Adjusted Model,10318,2023-02-03,0.1126147578,0.0572658829,0.0589295414,21,100
Market-Adjusted Model,10333,2023-02-03,-0.0481498,-0.098358479,-0.101835016,21,100
Market-Adjusted Model,10355,2023-02-03,0.0314443463,-0.017581962,-0.02224087,21,100
Market-Adjusted Model,10382,2023-02-03,0.2192982507,0.1489458847,0.1656130343,21,100
Market-Adjusted Model,10397,2023-02-03,0.0582153309,0.0062049098,0.0045301145,21,100
Market-Adjusted Model,10421,2023-02-03,0.0491802891,0.014143475,-0.004504927,21,100
Market-Adjusted Model,10443,2023-02-03,0.0455523835,-0.007850647,-0.008132833,21,100
Market-Adjusted Model,10463,2023-02-03,-0.07441864,-0.123544552,-0.128103857,21,100
Market-Adjusted Model,10501,2023-02-03,0.1309892393,0.0736087297,0.0773040229,21,100
Market-Adjusted Model,10514,2023-02-03,-0.129375569,-0.150508593,-0.183060786,21,100
Market-Adjusted Model,10516,2023-02-03,-0.038331456,-0.091708485,-0.092016672,21,100
Market-Adjusted Model,10517,2023-02-03,0.2242551633,0.1581747643,0.1705699469,21,100
Market-Adjusted Model,10530,2023-02-03,0.0104011425,-0.022211986,-0.022274111,7,100
Market-Adjusted Model,10547,2023-02-03,-0.151444006,-0.201749399,-0.205129223,21,100
Market-Adjusted Model,10550,2023-02-03,-0.045101541,-0.096412817,-0.098786757,21,100
Market-Adjusted Model,10606,2023-02-03,0.1831134104,0.1186067032,0.129428194,21,100
Market-Adjusted Model,10629,2023-02-03,0.1456693222,0.0844441309,0.0919841058,21,100
Market-Adjusted Model,10645,2023-02-03,0.1063553063,0.0497945054,0.0526700899,21,100
Market-Adjusted Model,10649,2023-02-03,0.0729926958,0.0252490425,0.0193074794,21,100
Market-Adjusted Model,10661,2023-02-03,0.1282052118,0.0927236647,0.0745199954,21,100
Market-Adjusted Model,10693,2023-02-03,0.009799205,-0.041723415,-0.043886011,21,100
Market-Adjusted Model,10696,2023-02-03,0.1290859507,0.0723548549,0.0754007343,21,100
Market-Adjusted Model,10777,2023-02-03,-0.036356477,-0.087834503,-0.090041694,21,100
Market-Adjusted Model,10779,2023-02-03,0.0655270702,0.0222304931,0.0118418538,21,100
Market-Adjusted Model,10781,2023-02-03,0.0246244117,-0.027727826,-0.029060805,21,100
Market-Adjusted Model,10812,2023-02-03,0.0224787896,-0.026206162,-0.031206427,21,100
Market-Adjusted Model,10860,2023-02-03,0.1876246575,0.13486257,0.1339394411,21,100
Market-Adjusted Model,10866,2023-02-03,0.1699729653,0.1133958091,0.1162877489,21,100
Market-Adjusted Model,10874,2023-02-03,0.17080541,0.1092964685,0.1171201936,21,100
Market-Adjusted Model,10886,2023-02-03,0.0427750543,-0.005274407,-0.010910162,21,100
Market-Adjusted Model,10890,2023-02-03,0.0189035728,-0.027820111,-0.034781644,21,100
Market-Adjusted Model,10892,2023-02-03,0.0823970646,0.0280386811,0.0287118482,21,100
Market-Adjusted Model,10901,2023-02-03,0.1184164997,0.0654081898,0.0647312833,21,100
Market-Adjusted Model,10932,2023-02-03,0.2263372807,0.1565519668,0.1726520643,21,100
Market-Adjusted Model,10933,2023-02-03,-0.032921957,-0.082672595,-0.086607173,21,100
Market-Adjusted Model,10966,2023-02-03,-0.142857131,-0.194704214,-0.196542347,21,100
Market-Adjusted Model,11006,2023-02-03,-0.048448627,-0.10050923,-0.102133844,21,100
Market-Adjusted Model,11018,2023-02-03,0.12393496,0.0679468718,0.0702497436,21,100
Market-Adjusted Model,11043,2023-02-03,0.0164415722,-0.035930734,-0.037243644,21,100
Market-Adjusted Model,11144,2023-02-03,-0.106047331,-0.162839016,-0.159732547,21,100
Market-Adjusted Model,11153,2023-02-03,-0.021381868,-0.067103248,-0.075067085,21,100
Market-Adjusted Model,11154,2023-02-03,0.0279520648,-0.019737779,-0.025733152,21,100
Market-Adjusted Model,11174,2023-02-03,0.2613681681,0.1864764447,0.2076829517,21,100
Market-Adjusted Model,11203,2023-02-03,0.0681399776,0.0139867629,0.0144547612,21,100
Market-Adjusted Model,11208,2023-02-03,0.0879121473,0.0323279706,0.0342269309,21,100
Market-Adjusted Model,11264,2023-02-03,0.3630653483,0.2874036866,0.3093801319,21,100
Market-Adjusted Model,11267,2023-02-03,-0.059642181,-0.111912475,-0.113327397,21,100
Market-Adjusted Model,11275,2023-02-03,0.0613810739,0.0089162746,0.0076958575,21,100
Market-Adjusted Model,11285,2023-02-03,0.0634556039,0.011222602,0.0097703875,21,100
Market-Adjusted Model,11292,2023-02-03,-0.039473646,-0.089809523,-0.093158863,21,100
Market-Adjusted Model,11293,2023-02-03,0.0499859553,-0.003328577,-0.003699261,21,100
Market-Adjusted Model,11308,2023-02-03,0.0066978845,-0.046068305,-0.046987332,21,100
Market-Adjusted Model,11368,2023-02-03,-0.112614471,-0.169356441,-0.166299687,21,100
Market-Adjusted Model,11369,2023-02-03,0.0737683931,0.0199064617,0.0200831767,21,100
Market-Adjusted Model,11370,2023-02-03,0.0015382015,-0.049822726,-0.052147015,21,100
Market-Adjusted Model,11379,2023-02-03,-0.051829291,-0.10074884,-0.105514507,21,100
Market-Adjusted Model,11394,2023-02-03,-0.163841798,-0.115313819,-0.217527014,21,100
Market-Adjusted Model,11397,2023-02-03,-0.057909332,-0.106714781,-0.111594548,21,100
Market-Adjusted Model,11403,2023-02-03,0.130793869,0.0753865262,0.0771086526,21,100
Market-Adjusted Model,11404,2023-02-03,0.0172914465,-0.035121531,-0.03639377,21,100
Market-Adjusted Model,11407,2023-02-03,0.0327586243,-0.017880998,-0.020926592,21,100
Market-Adjusted Model,11442,2023-02-03,0.1240328093,0.0660631634,0.0703475929,21,100
Market-Adjusted Model,11481,2023-02-03,-0.074433714,-0.117737595,-0.12811893,21,100
Market-Adjusted Model,11499,2023-02-03,0.0385990008,-0.012680086,-0.015086216,21,100
Market-Adjusted Model,11511,2023-02-03,1.5544277E-9,-0.046807582,-0.053685215,21,100
Market-Adjusted Model,11533,2023-02-03,0.0934985681,0.0388593825,0.0398133517,21,100
Market-Adjusted Model,11547,2023-02-03,0.0276531511,-0.017171382,-0.026032065,21,100
Market-Adjusted Model,11565,2023-02-03,0.0325097537,-0.018127863,-0.021175463,21,100
Market-Adjusted Model,11581,2023-02-03,0.1082855366,0.0515400615,0.0546003202,21,100
Market-Adjusted Model,11587,2023-02-03,0.0557125198,0.006937927,0.0020273034,21,100
Market-Adjusted Model,11593,2023-02-03,-0.024357217,-0.077285338,-0.078042433,21,100
Market-Adjusted Model,11600,2023-02-03,-0.021299802,-0.069616929,-0.074985019,21,100
Market-Adjusted Model,11618,2023-02-03,0.1495808731,0.0908744457,0.0958956567,21,100
Market-Adjusted Model,11628,2023-02-03,0.1503685239,0.0925256428,0.0966833075,21,100
Market-Adjusted Model,11636,2023-02-03,-0.084745753,-0.116149684,-0.138430969,21,100
Market-Adjusted Model,11644,2023-02-03,-0.041335422,-0.08341217,-0.095020639,21,100
Market-Adjusted Model,11654,2023-02-03,0.0043798686,-0.044793652,-0.049305348,21,100
Market-Adjusted Model,11664,2023-02-03,0.0950388696,0.0417810536,0.0413536532,21,100
Market-Adjusted Model,11674,2023-02-03,0.0243426225,-0.028532908,-0.029342594,21,100
Market-Adjusted Model,11691,2023-02-03,0.1597824846,0.0994918984,0.1060972682,21,100
Market-Adjusted Model,11701,2023-02-03,0.0028520572,-0.049039679,-0.050833159,21,100
Market-Adjusted Model,11731,2023-02-03,-0.010891366,-0.061345377,-0.064576582,21,100
Market-Adjusted Model,11748,2023-02-03,-0.009657748,-0.053656607,-0.063342965,21,100
Market-Adjusted Model,11752,2023-02-03,0.0661137626,0.0176595446,0.0124285462,21,100
Market-Adjusted Model,11762,2023-02-03,0.1539576228,0.0917411343,0.1002724064,21,100
Market-Adjusted Model,11775,2023-02-03,0.0077366794,-0.040539222,-0.045948537,21,100
Market-Adjusted Model,11786,2023-02-03,0.1709727187,0.1246454633,0.1172875023,21,100
Market-Adjusted Model,11790,2023-02-03,0.0030165846,-0.046868156,-0.050668632,21,100
Market-Adjusted Model,11803,2023-02-03,-0.002034538,-0.049429323,-0.055719754,21,100
Market-Adjusted Model,11809,2023-02-03,0.108159184,0.0504675368,0.0544739676,21,100
Market-Adjusted Model,11844,2023-02-03,0.0633886996,0.0094516704,0.0097034832,21,100
Market-Adjusted Model,11845,2023-02-03,0.076257712,0.0221219617,0.0225724956,21,100
Market-Adjusted Model,11850,2023-02-03,0.0073628453,-0.041846139,-0.046322371,21,100
Market-Adjusted Model,11884,2023-02-03,0.0685476723,0.016252641,0.0148624559,21,100
Market-Adjusted Model,11891,2023-02-03,0.1415094752,0.0832949845,0.0878242588,21,100
Market-Adjusted Model,11955,2023-02-03,0.0294371216,-0.023591164,-0.024248095,21,100
Market-Adjusted Model,11990,2023-02-03,0.1353268091,0.0785408629,0.0816415927,21,100
Market-Adjusted Model,11995,2023-02-03,0.1169296144,0.0604001064,0.063244398,21,100
Market-Adjusted Model,11996,2023-02-03,-0.017219465,-0.070469849,-0.070904681,21,100
Market-Adjusted Model,12008,2023-02-03,-0.136940647,-0.194682303,-0.190625864,21,100
Market-Adjusted Model,12009,2023-02-03,-0.059602641,-0.110454942,-0.113287857,21,100
Market-Adjusted Model,12015,2023-02-03,-0.008047204,-0.060657456,-0.061732421,21,100
Market-Adjusted Model,12017,2023-02-03,0.2534031445,0.1953083027,0.1997179281,21,100
Market-Adjusted Model,12034,2023-02-03,-0.051470618,-0.105359525,-0.105155835,21,100
Market-Adjusted Model,12035,2023-02-03,0.0117902957,-0.040881385,-0.041894921,21,100
Market-Adjusted Model,12036,2023-02-03,0.028162532,-0.023897856,-0.025522684,21,100
Market-Adjusted Model,12039,2023-02-03,-0.019405539,-0.072360184,-0.073090755,21,100
Market-Adjusted Model,12049,2023-02-03,-0.384146338,-0.477856624,-0.437831554,21,100
Market-Adjusted Model,12052,2023-02-03,0.0160224212,-0.036050648,-0.037662795,21,100
Market-Adjusted Model,12054,2023-02-03,-0.030618935,-0.084019285,-0.084304152,21,100
Market-Adjusted Model,12059,2023-02-03,-0.023618162,-0.077262277,-0.077303379,21,100
Market-Adjusted Model,12060,2023-02-03,0.0804059371,0.026370867,0.0267207207,21,100
Market-Adjusted Model,12062,2023-02-03,0.0145295289,-0.037087527,-0.039155688,21,100
Market-Adjusted Model,12064,2023-02-03,-0.006196605,-0.059699138,-0.059881821,21,100
Market-Adjusted Model,12065,2023-02-03,-0.015436742,-0.068877135,-0.069121958,21,100
Market-Adjusted Model,12066,2023-02-03,-0.030911921,-0.084023802,-0.084597137,21,100
Market-Adjusted Model,12068,2023-02-03,0.0117978088,-0.038757758,-0.041887408,21,100
Market-Adjusted Model,12070,2023-02-03,0.0168831278,-0.035583997,-0.036802089,21,100
Market-Adjusted Model,12075,2023-02-03,-0.009459876,-0.062380123,-0.063145093,21,100
Market-Adjusted Model,12076,2023-02-03,0.0601371751,0.0107976228,0.0064519587,21,100
Market-Adjusted Model,12078,2023-02-03,0.2980582185,0.2189416007,0.2443730021,21,100
Market-Adjusted Model,12082,2023-02-03,-0.097420199,-0.150742255,-0.151105416,21,100
Market-Adjusted Model,12084,2023-02-03,0.142181858,0.0844592578,0.0884966416,21,100
Market-Adjusted Model,12098,2023-02-03,-0.032406047,-0.085469648,-0.086091263,21,100
Market-Adjusted Model,12103,2023-02-03,-0.024715065,-0.078307253,-0.078400281,21,100
Market-Adjusted Model,12105,2023-02-03,0.0007849453,-0.05203285,-0.052900271,21,100
Market-Adjusted Model,12109,2023-02-03,-0.03037571,-0.080190674,-0.084060926,21,100
Market-Adjusted Model,12146,2023-02-03,-0.049886571,-0.099881907,-0.103571787,21,100
Market-Adjusted Model,12166,2023-02-03,-0.100000007,-0.150258792,-0.153685223,21,100
Market-Adjusted Model,12189,2023-02-03,0.0125480788,-0.036884473,-0.041137138,21,100
Market-Adjusted Model,12209,2023-02-03,-0.001763709,-0.053589892,-0.055448925,21,100
Market-Adjusted Model,12211,2023-02-03,0.0948616512,0.0392002674,0.0411764348,21,100
Market-Adjusted Model,12219,2023-02-03,-0.041743198,-0.09248657,-0.095428414,21,100
Market-Adjusted Model,12226,2023-02-03,-0.021255218,-0.07063797,-0.074940434,21,100
Market-Adjusted Model,12266,2023-02-03,0.0203452438,-0.024020847,-0.033339973,21,100
Market-Adjusted Model,12287,2023-02-03,-0.045172397,-0.098012321,-0.098857614,21,100
Market-Adjusted Model,12289,2023-02-03,-0.023510552,-0.077082635,-0.077195768,21,100
Market-Adjusted Model,12292,2023-02-03,-0.02642074,-0.079296867,-0.080105956,21,100
Market-Adjusted Model,12294,2023-02-03,0.050835535,-0.002721392,-0.002849681,21,100
Market-Adjusted Model,12295,2023-02-03,0.0443793219,-0.00903799,-0.009305895,21,100
Market-Adjusted Model,12296,2023-02-03,0.0762416182,0.0218196632,0.0225564018,21,100
Market-Adjusted Model,12297,2023-02-03,0.0568638536,0.0031391308,0.0031786372,21,100
Market-Adjusted Model,12301,2023-02-03,0.0661756402,0.0120245972,0.0124904238,21,100
Market-Adjusted Model,12302,2023-02-03,0.0606659253,0.0068230299,0.0069807089,21,100
Market-Adjusted Model,12303,2023-02-03,0.0591322417,0.0047742349,0.0054470253,21,100
Market-Adjusted Model,12304,2023-02-03,0.0601934154,0.0061186065,0.006508199,21,100
Market-Adjusted Model,12305,2023-02-03,0.0478243423,-0.005712302,-0.005860874,21,100
Market-Adjusted Model,12307,2023-02-03,-0.013157883,-0.033713539,-0.066843099,21,100
Market-Adjusted Model,12308,2023-02-03,0.0297240545,-0.020287401,-0.023961162,21,100
Market-Adjusted Model,12310,2023-02-03,-0.163424059,-0.210020747,-0.217109276,21,100
Market-Adjusted Model,12313,2023-02-03,0.0503045208,-0.003248636,-0.003380696,21,100
Market-Adjusted Model,12314,2023-02-03,0.074166076,0.0199849664,0.0204808596,21,100
Market-Adjusted Model,12315,2023-02-03,0.0283005454,-0.024915825,-0.025384671,21,100
Market-Adjusted Model,12316,2023-02-03,0.0527609206,-0.000916742,-0.000924296,21,100
Market-Adjusted Model,12317,2023-02-03,0.0636798173,0.0099240992,0.0099946009,21,100
Market-Adjusted Model,12318,2023-02-03,0.06072983,0.0069326035,0.0070446136,21,100
Market-Adjusted Model,12321,2023-02-03,0.0599462072,0.006233696,0.0062609908,21,100
Market-Adjusted Model,12325,2023-02-03,-0.053507218,-0.099018812,-0.107192434,21,100
Market-Adjusted Model,12326,2023-02-03,-0.073470295,-0.12883662,-0.127155512,21,100
Market-Adjusted Model,12329,2023-02-03,0.0140801625,-0.037580319,-0.039605054,21,100
Market-Adjusted Model,12331,2023-02-03,0.0072550487,-0.045401091,-0.046430168,21,100
Market-Adjusted Model,12332,2023-02-03,-0.133333363,-0.19148398,-0.187018579,21,100
Market-Adjusted Model,12333,2023-02-03,-0.016000913,-0.065696252,-0.069686129,21,100
Market-Adjusted Model,12334,2023-02-03,-0.035220661,-0.087572885,-0.088905878,21,100
Market-Adjusted Model,12338,2023-02-03,-0.082309648,-0.137566339,-0.135994864,21,100
Market-Adjusted Model,12339,2023-02-03,-0.078305541,-0.11698678,-0.131990758,21,100
Market-Adjusted Model,12341,2023-02-03,-0.022335688,-0.075900112,-0.076020905,21,100
Market-Adjusted Model,12345,2023-02-03,0.0778602139,0.023185325,0.0241749975,21,100
Market-Adjusted Model,12350,2023-02-03,-0.015012791,-0.011515492,-0.068698007,21,100
Market-Adjusted Model,12355,2023-02-03,0.1103851488,0.0532758285,0.0566999324,21,100
Market-Adjusted Model,12358,2023-02-03,0.0909090948,0.084876059,0.0372238784,21,100
Market-Adjusted Model,12360,2023-02-03,-0.074402139,-0.114419107,-0.128087356,21,100
Market-Adjusted Model,12363,2023-02-03,0.0678899792,0.0172837939,0.0142047628,21,100
Market-Adjusted Model,12366,2023-02-03,0.0528260136,0.0000213849,-0.000859203,21,100
Market-Adjusted Model,12367,2023-02-03,-0.008416617,-0.040812124,-0.062101833,21,100
Market-Adjusted Model,12368,2023-02-03,0.0536213474,-0.000626659,-0.000063869,21,100
Market-Adjusted Model,12369,2023-02-03,0.2082283442,0.1431501893,0.1545431278,21,100
